report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-04-30,3.0,2.0,6.0,1.0,20,24325136.0,0.0,24325130.0,0.9994224575307641,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224602421954,0,2,24325133,1,powerlaw
2003-05-01,3.0,2.0,6.0,1.0,21,24326119.0,0.0,24326113.0,0.9994224575309634,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224602529196,0,2,24326116,1,powerlaw
2003-05-02,3.0,2.0,6.0,1.0,22,24327102.0,0.0,24327096.0,0.9994224575311688,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460263616,0,2,24327099,1,powerlaw
2003-05-03,3.0,2.0,6.0,1.0,23,24328086.0,0.0,24328080.0,0.9994224575313644,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224602742848,0,2,24328083,1,powerlaw
2003-05-05,4.0,2.0,7.0,1.0,25,24330053.0,0.0,24330046.0,0.9994224567009682,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224602955358,0,2,24330050,1,powerlaw
2003-05-06,4.0,2.0,7.0,1.0,26,24331037.0,0.0,24331030.0,0.9994224567012132,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603061228,0,2,24331034,1,powerlaw
2003-05-07,4.0,2.0,7.0,1.0,27,24332020.0,0.0,24332013.0,0.9994224567014413,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603166826,0,2,24332017,1,powerlaw
2003-05-08,4.0,2.0,7.0,1.0,28,24333004.0,0.0,24332997.0,0.999422456701683,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603272156,0,2,24333001,1,powerlaw
2003-05-09,4.0,2.0,6.0,0.0,29,24333988.0,0.0,24333982.0,0.9994224575325772,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603377178,0,2,24333985,1,powerlaw
2003-05-10,4.0,2.0,7.0,1.0,30,24334972.0,0.0,24334965.0,0.9994224567021472,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603481972,0,2,24334969,1,powerlaw
2003-05-12,4.0,2.0,7.0,1.0,32,24336939.0,0.0,24336932.0,0.9994224567026128,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603690716,0,2,24336936,1,powerlaw
2003-05-13,4.0,2.0,7.0,1.0,33,24337923.0,0.0,24337916.0,0.9994224567028608,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460379472,0,2,24337920,1,powerlaw
2003-05-14,5.0,2.0,7.0,0.0,34,24338907.0,0.0,24338900.0,0.9994224567030866,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224603898406,0,2,24338904,1,powerlaw
2003-05-15,5.0,2.0,7.0,0.0,35,24339891.0,0.0,24339884.0,0.9994224567033184,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604001828,0,2,24339888,1,powerlaw
2003-05-16,5.0,2.0,7.0,0.0,36,24340875.0,0.0,24340868.0,0.9994224567035582,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460410499,0,2,24340872,1,powerlaw
2003-05-17,5.0,2.0,7.0,0.0,37,24341859.0,0.0,24341852.0,0.9994224567037916,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604207887,0,2,24341856,1,powerlaw
2003-05-19,5.0,2.0,7.0,0.0,39,24343828.0,0.0,24343821.0,0.9994224567042724,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604412832,0,2,24343826,1,powerlaw
2003-05-20,5.0,2.0,7.0,0.0,40,24344812.0,0.0,24344805.0,0.9994224567045088,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604514954,0,2,24344810,1,powerlaw
2003-05-21,5.0,2.0,8.0,1.0,41,24345796.0,0.0,24345788.0,0.99942245587447,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604616916,0,2,24345794,1,powerlaw
2003-05-22,5.0,2.0,8.0,1.0,42,24346780.0,0.0,24346772.0,0.9994224558747354,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604718632,0,2,24346778,1,powerlaw
2003-05-23,5.0,2.0,8.0,1.0,43,24347764.0,0.0,24347756.0,0.9994224558750138,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604820098,0,2,24347762,1,powerlaw
2003-05-24,5.0,2.0,8.0,1.0,44,24348749.0,0.0,24348741.0,0.9994224558752745,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224604921316,0,2,24348747,0,powerlaw
2003-05-26,3.0,2.0,5.0,0.0,46,24350718.0,0.0,24350713.0,0.9994224583660996,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605122672,0,2,24350716,0,powerlaw
2003-05-27,3.0,2.0,5.0,0.0,47,24351702.0,0.0,24351697.0,0.9994224583662704,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460522302,0,2,24351700,0,powerlaw
