0.3 beta,0.3 death fitted,0.3 delta,0.3 epsilon,0.3 infected fitted,0.3 recovered fitted,0.3 susceptible fitted,0.3 theta fitted,0.4 beta,0.4 death fitted,0.4 delta,0.4 epsilon,0.4 infected fitted,0.4 recovered fitted,0.4 susceptible fitted,0.4 theta fitted,0.5 beta,0.5 death fitted,0.5 delta,0.5 epsilon,0.5 infected fitted,0.5 recovered fitted,0.5 susceptible fitted,0.5 theta fitted,0.75 beta,0.75 death fitted,0.75 delta,0.75 epsilon,0.75 infected fitted,0.75 recovered fitted,0.75 susceptible fitted,0.75 theta fitted,0.9 beta,0.9 death fitted,0.9 delta,0.9 epsilon,0.9 infected fitted,0.9 recovered fitted,0.9 susceptible fitted,0.9 theta fitted,Cumulative number of cases,Number of deaths,Number recovered,alpha,country,currently infected,gamma,graph type,population,random graph probability,report date,susceptible,theta,time
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,974315.0,74.0,287091224.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,9070018.0,59.0,278995537.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,15301561.0,50.0,272764003.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,22613944.0,43.0,265451626.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,22726622.0,45.0,265338946.0,1.0,73.0,0.0,65.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288065613.0,0.0,2003-07-03,288065540.0,0.99942245739421,63
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,989218.0,75.0,287080623.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,9240721.0,59.0,278829135.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,15611985.0,50.0,272457880.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,23092918.0,43.0,264976954.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,23205595.0,45.0,264864276.0,1.0,73.0,0.0,65.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288069915.0,0.0,2003-07-04,288069842.0,0.9994224573942758,64
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1033804.0,75.0,287048945.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,9756303.0,59.0,278326462.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,16551564.0,50.0,271531209.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,24542287.0,43.0,263540493.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,24654187.0,45.0,263428592.0,1.0,73.0,0.0,65.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288082824.0,0.0,2003-07-07,288082751.0,0.9994224573945056,67
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1048627.0,76.0,287038423.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,9929302.0,60.0,278157765.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,16867416.0,50.0,271219659.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,25029262.0,44.0,263057820.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,25140634.0,45.0,262946447.0,1.0,74.0,0.0,64.0,3.818004121769469e-05,United States,10.0,2.32438620715314e-05,powerlaw,288087126.0,0.0,2003-07-08,288087052.0,0.9994224573244246,68
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1063430.0,76.0,287027923.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,10102839.0,60.0,277988530.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,17184517.0,51.0,270906861.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,25517997.0,44.0,262573388.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,25628705.0,45.0,262462679.0,1.0,75.0,0.0,67.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288091429.0,0.0,2003-07-09,288091354.0,0.9994224572543302,69
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1078213.0,76.0,287017443.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,10276900.0,60.0,277818772.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,17502822.0,51.0,270592860.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,26008398.0,44.0,262087291.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,26118301.0,45.0,261977386.0,1.0,75.0,0.0,67.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288095732.0,0.0,2003-07-10,288095657.0,0.9994224572544091,70
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1092976.0,76.0,287006983.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,10451471.0,60.0,277648504.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,17822286.0,51.0,270277698.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,26500367.0,44.0,261599624.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,26609326.0,45.0,261490664.0,1.0,75.0,0.0,67.0,3.818004121769469e-05,United States,8.0,2.32438620715314e-05,powerlaw,288100035.0,0.0,2003-07-11,288099960.0,0.9994224572544944,71
0.0002616739770291851,0.0,1.203886617447268e-10,0.026226936900088843,1596076.0,83.0,286654524.0,1.0,0.0002969293307254194,0.0,1.27253850903716e-10,0.018259853126918375,16765930.0,64.0,271484688.0,1.0,0.00031389916980901735,0.0,1.3605200015329368e-10,0.013711094817692622,29394155.0,54.0,258856474.0,1.0,0.0003396276288555368,0.0,1.312331446596271e-10,0.01028014157671107,44031191.0,46.0,244219445.0,1.0,0.00034800000000000016,0.0,1.2953333333333362e-10,0.010999999999999982,44012635.0,48.0,244238000.0,1.0,33.0,0.0,26.0,3.818004121769469e-05,United States,7.0,2.32438620715314e-05,powerlaw,288250683.0,0.0,2003-08-15,288250650.0,0.9994224602024576,106
0.0007851582297176913,4.0,0.005989182394557461,0.04901847006149115,15.0,43.0,81779038.0,1.0,0.0007228013190353867,4.0,0.005570562238127094,0.058040983463052,15.0,43.0,81779038.0,1.0,0.0006342303587664787,4.0,0.0053812428497182745,0.062255581356229876,15.0,43.0,81779038.0,1.0,0.0006265356732954789,4.0,0.005210693513292424,0.06691590336001063,15.0,43.0,81779038.0,1.0,0.0006391202818403416,4.0,0.005163905371063709,0.06822642309010944,15.0,43.0,81779038.0,1.0,62.0,4.0,43.0,4.5735005064218015e-05,Viet Nam,15.0,1.5465818985260782e-05,poisson,81779100.0,1.4673675971900842e-06,2003-04-10,81779038.0,0.999999993682165,0
0.0007851582297176913,4.0,0.005989182394557461,0.04901847006149115,17.0,44.0,81781511.0,1.0,0.0007228013190353867,4.0,0.005570562238127094,0.058040983463052,16.0,44.0,81781512.0,1.0,0.0006342303587664787,4.0,0.0053812428497182745,0.062255581356229876,15.0,44.0,81781512.0,1.0,0.0006265356732954789,4.0,0.005210693513292424,0.06691590336001063,14.0,44.0,81781513.0,1.0,0.0006391202818403416,4.0,0.005163905371063709,0.06822642309010944,14.0,44.0,81781513.0,1.0,62.0,4.0,43.0,4.5735005064218015e-05,Viet Nam,15.0,1.5465818985260782e-05,poisson,81781575.0,1.4673675971900842e-06,2003-04-11,81781513.0,0.9999999936825472,1
0.0007851582297176913,4.0,0.005989182394557461,0.04901847006149115,19.0,44.0,81783984.0,1.0,0.0007228013190353867,4.0,0.005570562238127094,0.058040983463052,16.0,45.0,81783986.0,1.0,0.0006342303587664787,4.0,0.0053812428497182745,0.062255581356229876,14.0,45.0,81783988.0,1.0,0.0006265356732954789,4.0,0.005210693513292424,0.06691590336001063,13.0,45.0,81783989.0,1.0,0.0006391202818403416,4.0,0.005163905371063709,0.06822642309010944,13.0,45.0,81783989.0,1.0,62.0,4.0,46.0,4.5735005064218015e-05,Viet Nam,12.0,1.5465818985260782e-05,poisson,81784051.0,1.4673675971900842e-06,2003-04-12,81783989.0,0.99999999368293,2
0.0007851582297176913,4.0,0.005989182394557461,0.04901847006149115,23.0,45.0,81788929.0,1.0,0.0007228013190353867,4.0,0.005570562238127094,0.058040983463052,18.0,46.0,81788934.0,1.0,0.0006342303587664787,4.0,0.0053812428497182745,0.062255581356229876,14.0,46.0,81788938.0,1.0,0.0006265356732954789,4.0,0.005210693513292424,0.06691590336001063,12.0,46.0,81788939.0,1.0,0.0006391202818403416,4.0,0.005163905371063709,0.06822642309010944,12.0,46.0,81788939.0,1.0,63.0,5.0,46.0,4.5735005064218015e-05,Viet Nam,12.0,1.5465818985260782e-05,poisson,81789002.0,1.4673675971900842e-06,2003-04-14,81788939.0,0.9999999935818188,4
